voltage,current,power
17.99,0.1,1.84
18.02,0.06,1.04
18.14,0.04,0.78
18.04,0.03,0.51
18.16,0.0,0.0
18.19,0.03,0.52
17.87,0.0,0.0
18.02,0.06,1.04
18.07,0.06,1.05
18.04,0.07,1.31
17.92,0.1,1.83
18.02,0.09,1.57
18.04,0.04,0.78
18.04,0.0,0.0
17.97,0.0,0.0
17.99,0.06,1.04
18.02,0.0,0.0
18.07,0.03,0.51
18.19,0.09,1.59
18.07,0.06,1.05
18.07,0.0,0.0
18.02,0.06,1.04
18.04,0.03,0.51
17.97,0.03,0.51
18.04,0.0,0.0
18.04,0.01,0.25
18.14,0.03,0.52
18.19,0.0,0.0
18.12,0.16,2.92
18.12,0.0,0.0
18.07,0.07,1.31
18.04,0.07,1.31
18.04,0.03,0.51
18.07,0.06,1.05
18.02,0.03,0.51
18.02,0.07,1.31
18.14,0.0,0.0
18.02,0.0,0.0
18.02,0.1,1.84
18.14,0.04,0.78
18.07,0.06,1.05
18.04,0.0,0.0
17.99,0.04,0.78
18.02,0.06,1.04
18.02,0.0,0.0
18.02,0.0,0.0
18.07,0.06,1.05
18.07,0.0,0.0
18.09,0.04,0.78
18.02,0.07,1.31
18.12,0.04,0.78
18.09,0.04,0.78
18.04,0.03,0.51
18.12,0.12,2.12
18.07,0.04,0.78
18.04,0.03,0.51
18.04,0.04,0.78
18.02,0.01,0.25
18.04,0.03,0.51
18.02,0.01,0.25
18.07,0.0,0.0
17.99,0.07,1.31
18.04,0.0,0.0
18.12,0.01,0.25
17.97,0.07,1.31
18.02,0.0,0.0
18.02,0.01,0.25
18.07,0.0,0.0
18.09,0.01,0.25
18.09,0.01,0.25
18.16,0.01,0.25
18.14,0.0,0.0
18.07,0.04,0.78
18.04,0.0,0.0
18.02,0.0,0.0
17.9,0.04,0.77
18.04,0.0,0.0
18.04,0.04,0.78
18.02,0.04,0.78
18.16,0.0,0.0
18.09,0.1,1.85
18.04,0.04,0.78
18.04,0.09,1.58
18.07,0.0,0.0
18.04,0.0,0.0
17.99,0.01,0.25
18.14,0.01,0.25
18.02,0.0,0.0
18.09,0.03,0.51
18.04,0.03,0.51
18.04,0.04,0.78
18.04,0.07,1.31
18.04,0.04,0.78
17.9,0.07,1.3
18.04,0.01,0.25
18.09,0.07,1.31
18.09,0.01,0.25
18.04,0.0,0.0
18.07,0.01,0.25
18.04,0.0,0.0
18.02,0.06,1.04
17.99,0.0,0.0
18.02,0.0,0.0
18.09,0.03,0.51
17.99,0.0,0.0
18.07,0.0,0.0
18.04,0.06,1.04
18.14,0.03,0.52
18.04,0.06,1.04
18.02,0.0,0.0
18.09,0.01,0.25
18.07,0.07,1.31
18.07,0.12,2.11
18.09,0.09,1.58
17.94,0.04,0.77
18.19,0.03,0.52
18.02,0.04,0.78
18.16,0.09,1.59
18.02,0.06,1.04
18.07,0.04,0.78
17.94,0.04,0.77
18.02,0.04,0.78
18.12,0.03,0.51
17.99,0.07,1.31
17.77,0.01,0.24
18.04,0.01,0.25
18.07,0.04,0.78
18.04,0.0,0.0
18.04,0.06,1.04
18.07,0.04,0.78
18.04,0.07,1.31
18.02,0.0,0.0
18.04,0.0,0.0
18.02,0.09,1.57
18.02,0.0,0.0
17.99,0.06,1.04
18.07,0.01,0.25
18.04,0.0,0.0
18.02,0.07,1.31
18.04,0.09,1.58
18.02,0.0,0.0
18.02,0.03,0.51
17.9,0.07,1.3
18.04,0.04,0.78
18.07,0.04,0.78
18.04,0.06,1.04
18.09,0.1,1.85
18.09,0.06,1.05
18.02,0.03,0.51
18.07,0.03,0.51
18.09,0.0,0.0
18.16,0.04,0.78
18.24,0.06,1.06
18.04,0.0,0.0
18.24,0.0,0.0
18.02,0.01,0.25
18.09,0.04,0.78
18.14,0.04,0.78
18.07,0.06,1.05
18.14,0.01,0.25
18.02,0.15,2.64
18.07,0.07,1.31
18.02,0.03,0.51
18.04,0.04,0.78
18.16,0.03,0.52
18.07,0.0,0.0
18.07,0.01,0.25
18.07,0.01,0.25
18.07,0.03,0.51
18.02,0.07,1.31
18.02,0.1,1.84
18.04,0.03,0.51
18.09,0.0,0.0
18.24,0.03,0.52
18.07,0.0,0.0
18.02,0.06,1.04
18.04,0.06,1.04
18.04,0.06,1.04
18.04,0.04,0.78
18.07,0.01,0.25
18.02,0.07,1.31
18.16,0.03,0.52
18.12,0.03,0.51
18.09,0.0,0.0
18.09,0.03,0.51
18.04,0.01,0.25
18.04,0.06,1.04
18.04,0.09,1.58
18.04,0.0,0.0
18.12,0.04,0.78
17.99,0.07,1.31
18.19,0.04,0.79
18.12,0.04,0.78
18.02,0.01,0.25
18.21,0.0,0.0
18.12,0.03,0.51
18.04,0.0,0.0
18.16,0.07,1.32
18.16,0.03,0.52
18.02,0.01,0.25
18.02,0.06,1.04
18.04,0.0,0.0
18.02,0.06,1.04
18.07,0.06,1.05
18.04,0.0,0.0
18.21,0.03,0.52
18.04,0.0,0.0
18.09,0.01,0.25
17.99,0.13,2.37
18.04,0.07,1.31
18.04,0.0,0.0
18.02,0.0,0.0
18.12,0.04,0.78
18.21,0.0,0.0
18.07,0.0,0.0
18.04,0.0,0.0
18.24,0.01,0.25
18.04,0.01,0.25
18.12,0.1,1.85
18.04,0.0,0.0
18.16,0.06,1.05
18.09,0.06,1.05
18.19,0.0,0.0
18.09,0.03,0.51
18.04,0.06,1.04
18.02,0.0,0.0
18.07,0.01,0.25
18.04,0.03,0.51
18.02,0.04,0.78
18.07,0.0,0.0
18.04,0.04,0.78
18.19,0.07,1.32
18.12,0.09,1.58
18.04,0.01,0.25
18.02,0.0,0.0
17.99,0.06,1.04
17.99,0.07,1.31
18.04,0.06,1.04
18.04,0.06,1.04
18.07,0.03,0.51
18.04,0.0,0.0
18.04,0.07,1.31
18.02,0.0,0.0
18.04,0.03,0.51
18.04,0.03,0.51
18.16,0.04,0.78
18.02,0.06,1.04
18.04,0.0,0.0
18.04,0.0,0.0
18.04,0.07,1.31
18.09,0.03,0.51
17.99,0.03,0.51
18.02,0.0,0.0
18.14,0.1,1.85
18.09,0.03,0.51
18.04,0.04,0.78
18.02,0.04,0.78
18.09,0.04,0.78
17.99,0.03,0.51
17.99,0.04,0.78
18.04,0.03,0.51
18.09,0.07,1.31
18.02,0.04,0.78
18.14,0.03,0.52
18.04,0.07,1.31
17.87,0.03,0.51
18.24,0.09,1.59
18.02,0.0,0.0
18.24,0.03,0.52
18.09,0.01,0.25
18.04,0.01,0.25
18.04,0.01,0.25
18.02,0.09,1.57
18.16,0.03,0.52
18.02,0.01,0.25
18.21,0.0,0.0
18.09,0.04,0.78
18.04,0.03,0.51
18.14,0.04,0.78
17.99,0.06,1.04
17.97,0.0,0.0
18.02,0.0,0.0
18.09,0.06,1.05
18.04,0.03,0.51
18.07,0.06,1.05
18.04,0.03,0.51
18.02,0.01,0.25
17.94,0.06,1.04
17.99,0.01,0.25
17.99,0.06,1.04
18.04,0.03,0.51
18.24,0.07,1.32
18.04,0.0,0.0
18.04,0.04,0.78
18.02,0.07,1.31
18.09,0.04,0.78
17.99,0.06,1.04
18.04,0.0,0.0
18.04,0.0,0.0
18.04,0.04,0.78
18.12,0.0,0.0
18.02,0.01,0.25
18.02,0.04,0.78
18.02,0.04,0.78
18.16,0.03,0.52
18.14,0.03,0.52
18.04,0.03,0.51
18.09,0.03,0.51
18.09,0.07,1.31
18.09,0.06,1.05
17.99,0.0,0.0
18.04,0.06,1.04
17.94,0.0,0.0
18.09,0.01,0.25
18.07,0.0,0.0
18.02,0.03,0.51
17.99,0.06,1.04
17.99,0.03,0.51
18.02,0.0,0.0
18.02,0.01,0.25
17.97,0.01,0.25
18.12,0.06,1.05
18.04,0.0,0.0
18.16,0.04,0.78
18.09,0.04,0.78
18.02,0.06,1.04
18.04,0.04,0.78
18.09,0.07,1.31
18.04,0.0,0.0
18.02,0.06,1.04
18.04,0.04,0.78
17.99,0.07,1.31
18.02,0.06,1.04
18.02,0.07,1.31
18.04,0.0,0.0
18.02,0.01,0.25
18.12,0.04,0.78
18.14,0.0,0.0
18.12,0.09,1.58
17.9,0.01,0.25
17.99,0.01,0.25
18.04,0.03,0.51
18.02,0.01,0.25
18.04,0.1,1.84
18.04,0.09,1.58
18.07,0.01,0.25
18.14,0.07,1.32
17.99,0.01,0.25
17.9,0.01,0.25
18.02,0.06,1.04
18.02,0.1,1.84
18.04,0.06,1.04
18.21,0.01,0.25
18.14,0.0,0.0
18.02,0.03,0.51
17.99,0.04,0.78
18.02,0.04,0.78
17.99,0.0,0.0
18.02,0.09,1.57
17.97,0.07,1.31
17.92,0.09,1.57
18.02,0.0,0.0
18.02,0.01,0.25
17.94,0.07,1.3
18.04,0.06,1.04
18.02,0.04,0.78
18.07,0.04,0.78
18.09,0.03,0.51
18.07,0.0,0.0
18.04,0.03,0.51
17.99,0.0,0.0
17.99,0.06,1.04
18.02,0.07,1.31
18.02,0.0,0.0
18.43,0.0,0.0
18.09,0.07,1.31
18.02,0.03,0.51
18.09,0.1,1.85
18.02,0.01,0.25
17.99,0.0,0.0
18.04,0.07,1.31
18.02,0.0,0.0
18.12,0.06,1.05
18.04,0.0,0.0
18.04,0.04,0.78
18.02,0.09,1.57
18.04,0.07,1.31
18.02,0.0,0.0
18.02,0.1,1.84
18.14,0.06,1.05
17.97,0.04,0.78
18.02,0.1,1.84
18.02,0.06,1.04
18.02,0.0,0.0
18.07,0.07,1.31
18.02,0.1,1.84
18.02,0.01,0.25
18.04,0.03,0.51
18.07,0.06,1.05
18.04,0.0,0.0
18.04,0.0,0.0
18.02,0.04,0.78
18.07,0.04,0.78
18.02,0.07,1.31
18.16,0.0,0.0
18.07,0.0,0.0
18.04,0.04,0.78
18.07,0.0,0.0
17.99,0.03,0.51
18.04,0.0,0.0
17.99,0.01,0.25
18.07,0.04,0.78
18.09,0.06,1.05
18.24,0.03,0.52
18.07,0.15,2.64
18.12,0.07,1.32
18.07,0.09,1.58
18.04,0.01,0.25
18.09,0.0,0.0
18.07,0.09,1.58
18.02,0.03,0.51
17.99,0.09,1.57
18.07,0.0,0.0
18.02,0.0,0.0
18.19,0.03,0.52
18.02,0.12,2.11
18.02,0.04,0.78
18.09,0.03,0.51
18.07,0.0,0.0
18.14,0.0,0.0
18.02,0.01,0.25
18.12,0.03,0.51
18.07,0.07,1.31
18.02,0.06,1.04
18.04,0.03,0.51
18.31,0.01,0.25
18.07,0.04,0.78
18.07,0.0,0.0
18.02,0.09,1.57
18.02,0.0,0.0
17.99,0.06,1.04
17.99,0.04,0.78
18.04,0.03,0.51
18.09,0.04,0.78
18.04,0.06,1.04
18.04,0.03,0.51
18.02,0.06,1.04
18.16,0.06,1.05
18.02,0.0,0.0
17.99,0.03,0.51
18.02,0.03,0.51
18.02,0.03,0.51
18.02,0.06,1.04
18.02,0.01,0.25
18.04,0.07,1.31
17.99,0.0,0.0
17.99,0.0,0.0
18.04,0.04,0.78
18.07,0.07,1.31
18.04,0.01,0.25
18.07,0.09,1.58
18.04,0.03,0.51
17.99,0.03,0.51
18.09,0.03,0.51
17.99,0.01,0.25
18.07,0.04,0.78
18.02,0.03,0.51
18.04,0.04,0.78
18.19,0.07,1.32
18.04,0.06,1.04
18.04,0.04,0.78
18.12,0.01,0.25
18.02,0.04,0.78
17.97,0.09,1.57
18.09,0.09,1.58
18.09,0.12,2.11
18.07,0.03,0.51
18.02,0.06,1.04
18.02,0.1,1.84
18.02,0.0,0.0
18.02,0.03,0.51
18.02,0.07,1.31
17.99,0.03,0.51
18.12,0.0,0.0
18.07,0.0,0.0
18.12,0.07,1.32
17.99,0.01,0.25
18.02,0.01,0.25
17.99,0.0,0.0
17.99,0.09,1.57
18.02,0.0,0.0
17.7,0.01,0.24
18.04,0.09,1.58
18.04,0.0,0.0
18.19,0.0,0.0
17.99,0.0,0.0
17.99,0.07,1.31
18.02,0.01,0.25
18.04,0.04,0.78
17.72,0.04,0.77
18.19,0.04,0.79
18.04,0.04,0.78
18.02,0.07,1.31
18.14,0.01,0.25
17.99,0.03,0.51
18.02,0.01,0.25
18.02,0.07,1.31
18.02,0.0,0.0
18.04,0.06,1.04
18.07,0.04,0.78
18.12,0.04,0.78
18.19,0.07,1.32
17.94,0.0,0.0
18.16,0.07,1.32
18.09,0.0,0.0
18.04,0.04,0.78
18.04,0.01,0.25
18.07,0.09,1.58
18.16,0.04,0.78
18.07,0.06,1.05
18.24,0.06,1.06
18.02,0.09,1.57
18.02,0.07,1.31
18.04,0.01,0.25
18.19,0.01,0.25
18.12,0.03,0.51
18.07,0.0,0.0
17.99,0.0,0.0
18.02,0.03,0.51
17.99,0.01,0.25
18.02,0.06,1.04
18.04,0.03,0.51
18.04,0.0,0.0
17.99,0.04,0.78
18.09,0.07,1.31
18.09,0.0,0.0
18.12,0.03,0.51
18.09,0.04,0.78
18.12,0.07,1.32
18.07,0.06,1.05
17.8,0.0,0.0
18.04,0.03,0.51
18.12,0.0,0.0
18.02,0.04,0.78
17.99,0.03,0.51
17.99,0.06,1.04
18.12,0.1,1.85
18.02,0.04,0.78
18.02,0.07,1.31
18.09,0.09,1.58
18.02,0.09,1.57
18.02,0.04,0.78
18.02,0.0,0.0
18.09,0.0,0.0
18.09,0.0,0.0
18.21,0.0,0.0
18.04,0.0,0.0
18.02,0.01,0.25
18.02,0.07,1.31
17.99,0.0,0.0
17.99,0.03,0.51
18.04,0.04,0.78
18.19,0.0,0.0
18.02,0.03,0.51
18.14,0.0,0.0
18.04,0.04,0.78
18.04,0.04,0.78
18.02,0.06,1.04
17.8,0.01,0.24
17.99,0.07,1.31
18.07,0.07,1.31
18.02,0.03,0.51
18.04,0.06,1.04
18.14,0.03,0.52
18.14,0.13,2.39
18.02,0.12,2.11
17.97,0.01,0.25
18.04,0.0,0.0
18.16,0.04,0.78
18.19,0.0,0.0
18.07,0.01,0.25
18.09,0.0,0.0
18.02,0.01,0.25
18.02,0.01,0.25
17.99,0.03,0.51
18.02,0.01,0.25
18.04,0.0,0.0
17.72,0.1,1.81
18.12,0.03,0.51
18.14,0.04,0.78
18.04,0.0,0.0
18.04,0.0,0.0
17.99,0.12,2.1
17.99,0.04,0.78
18.07,0.0,0.0
18.02,0.03,0.51
18.02,0.0,0.0
18.07,0.07,1.31
18.14,0.01,0.25
18.02,0.03,0.51
18.07,0.0,0.0
18.19,0.07,1.32
18.07,0.04,0.78
18.04,0.04,0.78
18.12,0.04,0.78
18.19,0.06,1.05
18.19,0.0,0.0
18.04,0.06,1.04
18.02,0.01,0.25
18.02,0.09,1.57
18.02,0.06,1.04
18.16,0.0,0.0
18.12,0.06,1.05
18.07,0.03,0.51
18.02,0.06,1.04
18.19,0.04,0.79
17.99,0.03,0.51
17.99,0.09,1.57
17.99,0.07,1.31
18.09,0.0,0.0
17.99,0.0,0.0
17.97,0.01,0.25
18.02,0.0,0.0
18.14,0.06,1.05
18.14,0.06,1.05
18.04,0.0,0.0
18.12,0.03,0.51
18.02,0.0,0.0
18.04,0.0,0.0
17.99,0.04,0.78
18.02,0.03,0.51
18.14,0.04,0.78
17.99,0.03,0.51
17.92,0.09,1.57
18.07,0.04,0.78
18.04,0.06,1.04
17.99,0.0,0.0
18.02,0.01,0.25
17.99,0.0,0.0
18.04,0.03,0.51
18.04,0.0,0.0
18.07,0.06,1.05
17.97,0.0,0.0
18.02,0.01,0.25
18.02,0.12,2.11
18.07,0.07,1.31
18.16,0.0,0.0
18.12,0.0,0.0
18.04,0.1,1.84
18.19,0.01,0.25
18.07,0.0,0.0
18.02,0.09,1.57
18.04,0.03,0.51
