voltage,current,power
0.42,0.04,0.02
0.49,0.0,0.0
0.44,0.0,0.0
0.42,0.0,0.0
0.49,0.06,0.03
0.49,0.01,0.01
0.54,0.0,0.0
0.49,0.03,0.01
0.46,0.0,0.0
0.46,0.03,0.01
0.49,0.01,0.01
0.46,0.06,0.03
0.49,0.0,0.0
0.46,0.01,0.01
0.46,0.03,0.01
0.49,0.0,0.0
0.61,0.06,0.04
0.46,0.04,0.02
0.39,0.06,0.02
0.42,0.03,0.01
0.61,0.04,0.03
0.56,0.01,0.01
0.46,0.0,0.0
0.44,0.01,0.01
0.44,0.0,0.0
0.46,0.0,0.0
0.46,0.01,0.01
0.44,0.06,0.03
0.49,0.03,0.01
0.44,0.03,0.01
0.46,0.0,0.0
0.46,0.03,0.01
0.49,0.0,0.0
0.46,0.04,0.02
0.56,0.03,0.02
0.51,0.0,0.0
0.46,0.0,0.0
0.46,0.0,0.0
0.44,0.0,0.0
0.51,0.01,0.01
0.59,0.0,0.0
0.46,0.06,0.03
0.44,0.0,0.0
0.46,0.0,0.0
0.49,0.0,0.0
0.46,0.0,0.0
0.49,0.01,0.01
0.46,0.01,0.01
0.44,0.06,0.03
0.46,0.0,0.0
0.49,0.06,0.03
0.44,0.0,0.0
0.46,0.0,0.0
0.44,0.06,0.03
0.51,0.04,0.02
0.49,0.12,0.06
0.46,0.0,0.0
0.44,0.04,0.02
0.46,0.04,0.02
0.42,0.04,0.02
0.49,0.0,0.0
0.42,0.0,0.0
0.49,0.03,0.01
0.46,0.0,0.0
0.46,0.04,0.02
0.51,0.06,0.03
0.46,0.03,0.01
0.54,0.0,0.0
0.56,0.03,0.02
0.51,0.06,0.03
0.49,0.03,0.01
0.59,0.09,0.05
0.42,0.03,0.01
0.61,0.01,0.01
0.56,0.0,0.0
0.44,0.04,0.02
0.44,0.0,0.0
0.46,0.04,0.02
0.44,0.0,0.0
0.44,0.06,0.03
0.46,0.0,0.0
0.46,0.03,0.01
0.42,0.0,0.0
0.46,0.06,0.03
0.46,0.0,0.0
0.44,0.01,0.01
0.63,0.03,0.02
0.44,0.07,0.03
0.49,0.1,0.05
0.49,0.0,0.0
0.54,0.04,0.02
0.59,0.01,0.01
0.49,0.0,0.0
0.46,0.0,0.0
0.46,0.0,0.0
0.44,0.0,0.0
0.59,0.01,0.01
0.44,0.06,0.03
0.49,0.12,0.06
0.46,0.0,0.0
0.46,0.03,0.01
0.49,0.07,0.04
0.49,0.07,0.04
0.49,0.0,0.0
0.51,0.04,0.02
0.49,0.06,0.03
0.39,0.01,0.01
0.56,0.03,0.02
0.49,0.0,0.0
0.44,0.06,0.03
0.46,0.03,0.01
0.54,0.0,0.0
0.51,0.04,0.02
0.49,0.1,0.05
0.49,0.01,0.01
0.44,0.03,0.01
0.49,0.06,0.03
0.49,0.01,0.01
0.56,0.09,0.05
0.49,0.0,0.0
0.56,0.04,0.02
0.44,0.0,0.0
0.54,0.03,0.02
0.46,0.1,0.05
0.49,0.01,0.01
0.61,0.0,0.0
0.54,0.1,0.05
0.49,0.03,0.01
0.44,0.1,0.04
0.59,0.09,0.05
0.44,0.03,0.01
0.51,0.06,0.03
0.51,0.0,0.0
0.37,0.09,0.03
0.49,0.04,0.02
0.39,0.07,0.03
0.46,0.03,0.01
0.46,0.07,0.03
0.49,0.03,0.01
0.46,0.04,0.02
0.46,0.0,0.0
0.49,0.03,0.01
0.46,0.0,0.0
0.49,0.07,0.04
0.49,0.01,0.01
0.49,0.0,0.0
0.49,0.07,0.04
0.49,0.0,0.0
0.51,0.04,0.02
0.46,0.04,0.02
0.46,0.07,0.03
0.49,0.09,0.04
0.44,0.03,0.01
0.46,0.06,0.03
0.49,0.0,0.0
0.44,0.03,0.01
0.49,0.0,0.0
0.49,0.13,0.06
0.54,0.03,0.02
0.42,0.09,0.04
0.44,0.06,0.03
0.44,0.04,0.02
0.46,0.01,0.01
0.44,0.04,0.02
0.46,0.04,0.02
0.44,0.0,0.0
0.44,0.07,0.03
0.54,0.04,0.02
0.54,0.01,0.01
0.54,0.0,0.0
0.49,0.01,0.01
0.46,0.04,0.02
0.42,0.07,0.03
0.61,0.09,0.05
0.51,0.04,0.02
0.49,0.0,0.0
0.49,0.1,0.05
0.49,0.0,0.0
0.49,0.06,0.03
0.56,0.06,0.03
0.46,0.12,0.05
0.46,0.03,0.01
0.51,0.03,0.01
0.46,0.01,0.01
0.44,0.0,0.0
0.37,0.06,0.02
0.46,0.01,0.01
0.54,0.04,0.02
0.42,0.01,0.01
0.44,0.09,0.04
0.42,0.07,0.03
0.46,0.09,0.04
0.66,0.09,0.06
0.32,0.0,0.0
0.49,0.01,0.01
0.46,0.07,0.03
0.46,0.09,0.04
0.49,0.03,0.01
0.49,0.0,0.0
0.46,0.07,0.03
0.49,0.03,0.01
0.46,0.0,0.0
0.42,0.03,0.01
0.56,0.03,0.02
0.51,0.07,0.04
0.51,0.07,0.04
0.51,0.06,0.03
0.49,0.0,0.0
0.44,0.07,0.03
0.44,0.01,0.01
0.46,0.01,0.01
0.49,0.0,0.0
0.49,0.06,0.03
0.49,0.01,0.01
0.46,0.01,0.01
0.49,0.09,0.04
0.54,0.04,0.02
0.49,0.0,0.0
0.49,0.01,0.01
0.44,0.07,0.03
0.49,0.06,0.03
0.49,0.06,0.03
0.46,0.0,0.0
0.44,0.0,0.0
0.39,0.1,0.04
0.49,0.12,0.06
0.49,0.09,0.04
0.51,0.03,0.01
0.42,0.06,0.02
0.51,0.01,0.01
0.51,0.01,0.01
0.46,0.03,0.01
0.44,0.0,0.0
0.56,0.01,0.01
0.46,0.06,0.03
0.49,0.0,0.0
0.49,0.06,0.03
0.49,0.07,0.04
0.46,0.09,0.04
0.49,0.04,0.02
0.46,0.04,0.02
0.49,0.01,0.01
0.46,0.03,0.01
0.46,0.0,0.0
0.61,0.04,0.03
0.54,0.09,0.05
0.49,0.04,0.02
0.46,0.04,0.02
0.54,0.0,0.0
0.56,0.09,0.05
0.44,0.01,0.01
0.39,0.07,0.03
0.61,0.04,0.03
0.49,0.06,0.03
0.46,0.04,0.02
0.42,0.0,0.0
0.46,0.01,0.01
0.49,0.0,0.0
0.49,0.07,0.04
0.49,0.06,0.03
0.46,0.09,0.04
0.46,0.04,0.02
0.49,0.01,0.01
0.49,0.0,0.0
0.46,0.04,0.02
0.39,0.1,0.04
0.49,0.06,0.03
0.54,0.01,0.01
0.49,0.01,0.01
0.51,0.04,0.02
0.39,0.01,0.01
0.46,0.01,0.01
0.49,0.06,0.03
0.61,0.01,0.01
0.54,0.06,0.03
0.46,0.0,0.0
0.46,0.09,0.04
0.49,0.04,0.02
0.54,0.03,0.02
0.44,0.0,0.0
0.46,0.1,0.05
0.46,0.04,0.02
0.46,0.06,0.03
0.44,0.0,0.0
0.39,0.0,0.0
0.54,0.09,0.05
0.56,0.0,0.0
0.59,0.1,0.06
0.39,0.04,0.02
0.46,0.07,0.03
0.44,0.03,0.01
0.49,0.03,0.01
0.44,0.03,0.01
0.46,0.01,0.01
0.49,0.0,0.0
0.42,0.06,0.02
0.46,0.06,0.03
0.49,0.13,0.06
0.49,0.01,0.01
0.49,0.01,0.01
0.49,0.13,0.06
0.49,0.01,0.01
0.54,0.0,0.0
0.46,0.04,0.02
0.46,0.0,0.0
0.54,0.09,0.05
0.49,0.09,0.04
0.54,0.0,0.0
0.59,0.09,0.05
0.39,0.0,0.0
0.54,0.03,0.02
0.46,0.01,0.01
0.49,0.0,0.0
0.49,0.01,0.01
0.46,0.0,0.0
0.46,0.04,0.02
0.44,0.0,0.0
0.54,0.06,0.03
0.42,0.1,0.04
0.49,0.03,0.01
0.44,0.04,0.02
0.42,0.0,0.0
0.46,0.04,0.02
0.44,0.01,0.01
0.56,0.04,0.02
0.51,0.01,0.01
0.44,0.0,0.0
0.49,0.1,0.05
0.56,0.01,0.01
0.46,0.04,0.02
0.49,0.01,0.01
0.54,0.0,0.0
0.46,0.03,0.01
0.46,0.12,0.05
0.46,0.06,0.03
0.46,0.04,0.02
0.54,0.09,0.05
0.39,0.09,0.03
0.44,0.01,0.01
0.39,0.01,0.01
0.39,0.16,0.06
0.42,0.04,0.02
0.56,0.0,0.0
0.49,0.0,0.0
0.49,0.06,0.03
0.44,0.09,0.04
0.44,0.0,0.0
0.49,0.01,0.01
0.51,0.09,0.04
0.42,0.04,0.02
0.46,0.06,0.03
0.46,0.09,0.04
0.46,0.04,0.02
0.42,0.03,0.01
0.46,0.01,0.01
0.44,0.01,0.01
0.42,0.06,0.02
0.49,0.04,0.02
0.51,0.04,0.02
0.46,0.1,0.05
0.49,0.0,0.0
0.51,0.04,0.02
0.54,0.03,0.02
0.54,0.03,0.02
0.46,0.0,0.0
0.39,0.04,0.02
0.56,0.0,0.0
0.56,0.0,0.0
0.49,0.04,0.02
0.44,0.09,0.04
0.46,0.0,0.0
0.54,0.07,0.04
0.49,0.03,0.01
0.44,0.0,0.0
0.63,0.01,0.01
0.46,0.01,0.01
0.56,0.07,0.04
0.51,0.01,0.01
0.54,0.04,0.02
0.61,0.0,0.0
0.46,0.07,0.03
0.44,0.06,0.03
0.51,0.04,0.02
0.44,0.01,0.01
0.46,0.04,0.02
0.49,0.03,0.01
0.49,0.01,0.01
0.42,0.01,0.01
0.49,0.01,0.01
0.49,0.03,0.01
0.49,0.01,0.01
0.46,0.03,0.01
0.46,0.03,0.01
0.51,0.0,0.0
0.49,0.04,0.02
0.44,0.03,0.01
0.39,0.06,0.02
0.46,0.0,0.0
0.51,0.04,0.02
0.44,0.03,0.01
0.54,0.03,0.02
0.49,0.01,0.01
0.54,0.0,0.0
0.56,0.04,0.02
0.46,0.0,0.0
0.49,0.03,0.01
0.54,0.1,0.05
0.54,0.04,0.02
0.42,0.04,0.02
0.54,0.04,0.02
0.54,0.03,0.02
0.54,0.07,0.04
0.42,0.1,0.04
0.46,0.0,0.0
0.51,0.06,0.03
0.54,0.04,0.02
0.49,0.0,0.0
0.54,0.06,0.03
0.49,0.04,0.02
0.44,0.04,0.02
0.49,0.0,0.0
0.37,0.06,0.02
0.51,0.04,0.02
0.51,0.13,0.07
0.61,0.07,0.04
0.51,0.0,0.0
0.61,0.07,0.04
0.44,0.03,0.01
0.54,0.03,0.02
0.44,0.09,0.04
0.51,0.0,0.0
0.49,0.06,0.03
0.42,0.06,0.02
0.59,0.0,0.0
0.66,0.0,0.0
0.49,0.03,0.01
0.54,0.04,0.02
0.49,0.09,0.04
0.49,0.04,0.02
0.46,0.0,0.0
0.49,0.07,0.04
0.51,0.01,0.01
0.49,0.04,0.02
0.66,0.03,0.02
0.54,0.09,0.05
0.49,0.06,0.03
0.42,0.1,0.04
0.49,0.1,0.05
0.27,0.0,0.0
0.42,0.04,0.02
0.49,0.0,0.0
0.46,0.0,0.0
0.49,0.07,0.04
0.51,0.04,0.02
0.49,0.01,0.01
0.56,0.03,0.02
0.44,0.09,0.04
0.46,0.06,0.03
0.56,0.04,0.02
0.46,0.01,0.01
0.51,0.03,0.01
0.51,0.04,0.02
0.46,0.03,0.01
0.56,0.01,0.01
0.49,0.03,0.01
0.54,0.04,0.02
0.32,0.04,0.01
0.46,0.06,0.03
0.46,0.01,0.01
0.54,0.03,0.02
0.51,0.0,0.0
0.49,0.0,0.0
0.46,0.0,0.0
0.49,0.03,0.01
0.51,0.0,0.0
0.46,0.06,0.03
0.49,0.03,0.01
0.49,0.03,0.01
0.46,0.07,0.03
0.54,0.04,0.02
0.44,0.03,0.01
0.42,0.03,0.01
0.46,0.03,0.01
0.49,0.03,0.01
0.49,0.0,0.0
0.39,0.09,0.03
0.49,0.09,0.04
0.49,0.01,0.01
0.42,0.03,0.01
0.54,0.03,0.02
0.49,0.04,0.02
0.49,0.0,0.0
0.46,0.04,0.02
0.39,0.01,0.01
0.42,0.07,0.03
0.49,0.01,0.01
0.46,0.01,0.01
0.44,0.07,0.03
0.59,0.0,0.0
0.46,0.03,0.01
0.56,0.0,0.0
0.49,0.0,0.0
0.39,0.1,0.04
0.59,0.09,0.05
0.49,0.0,0.0
0.54,0.04,0.02
0.49,0.04,0.02
0.44,0.04,0.02
0.51,0.03,0.01
0.51,0.06,0.03
0.54,0.06,0.03
0.51,0.03,0.01
0.54,0.0,0.0
0.46,0.04,0.02
0.42,0.12,0.05
0.63,0.03,0.02
0.56,0.12,0.07
0.49,0.0,0.0
0.54,0.07,0.04
0.46,0.03,0.01
0.49,0.0,0.0
0.49,0.0,0.0
0.46,0.06,0.03
0.51,0.03,0.01
0.54,0.01,0.01
0.46,0.0,0.0
0.61,0.01,0.01
0.49,0.04,0.02
0.42,0.0,0.0
0.44,0.06,0.03
0.54,0.06,0.03
0.42,0.01,0.01
0.61,0.12,0.07
0.51,0.01,0.01
0.44,0.03,0.01
0.51,0.0,0.0
0.42,0.0,0.0
0.54,0.0,0.0
0.44,0.04,0.02
0.42,0.07,0.03
0.46,0.06,0.03
0.49,0.12,0.06
0.49,0.0,0.0
0.46,0.01,0.01
0.49,0.06,0.03
0.44,0.07,0.03
0.44,0.01,0.01
0.46,0.03,0.01
0.49,0.0,0.0
0.42,0.06,0.02
0.44,0.0,0.0
0.42,0.09,0.04
0.54,0.07,0.04
0.56,0.01,0.01
0.59,0.07,0.04
0.56,0.06,0.03
0.59,0.03,0.02
0.49,0.09,0.04
0.49,0.1,0.05
0.51,0.01,0.01
0.46,0.07,0.03
0.49,0.01,0.01
0.46,0.01,0.01
0.46,0.03,0.01
0.46,0.03,0.01
0.46,0.06,0.03
0.44,0.09,0.04
0.56,0.03,0.02
0.54,0.0,0.0
0.44,0.0,0.0
0.54,0.01,0.01
0.54,0.07,0.04
0.46,0.09,0.04
0.51,0.09,0.04
0.49,0.0,0.0
0.46,0.09,0.04
0.37,0.06,0.02
0.39,0.07,0.03
0.49,0.06,0.03
0.37,0.0,0.0
0.49,0.01,0.01
0.46,0.12,0.05
0.51,0.0,0.0
0.49,0.1,0.05
0.54,0.0,0.0
0.54,0.06,0.03
0.59,0.06,0.03
0.59,0.1,0.06
0.51,0.04,0.02
0.66,0.07,0.05
0.44,0.03,0.01
0.49,0.12,0.06
0.46,0.09,0.04
0.49,0.0,0.0
0.51,0.03,0.01
0.46,0.03,0.01
0.46,0.01,0.01
0.51,0.03,0.01
0.49,0.09,0.04
0.46,0.07,0.03
0.49,0.06,0.03
0.44,0.0,0.0
0.44,0.06,0.03
0.46,0.03,0.01
0.49,0.12,0.06
0.49,0.1,0.05
0.54,0.01,0.01
0.51,0.0,0.0
0.39,0.0,0.0
0.49,0.06,0.03
0.49,0.06,0.03
0.49,0.0,0.0
0.37,0.03,0.01
0.51,0.0,0.0
0.46,0.01,0.01
0.49,0.01,0.01
0.49,0.01,0.01
0.49,0.0,0.0
0.51,0.06,0.03
0.49,0.06,0.03
0.44,0.01,0.01
0.42,0.09,0.04
0.49,0.07,0.04
0.49,0.04,0.02
0.44,0.04,0.02
0.49,0.0,0.0
0.49,0.1,0.05
0.54,0.1,0.05
0.46,0.06,0.03
0.54,0.07,0.04
0.51,0.0,0.0
0.49,0.04,0.02
0.54,0.0,0.0
0.46,0.0,0.0
0.56,0.0,0.0
0.46,0.03,0.01
0.37,0.0,0.0
0.46,0.03,0.01
0.54,0.0,0.0
0.49,0.06,0.03
0.59,0.06,0.03
0.49,0.03,0.01
0.49,0.04,0.02
0.49,0.01,0.01
0.56,0.03,0.02
0.44,0.01,0.01
0.46,0.06,0.03
0.42,0.0,0.0
0.46,0.12,0.05
0.46,0.04,0.02
0.49,0.13,0.06
0.46,0.01,0.01
0.56,0.07,0.04
0.44,0.03,0.01
0.51,0.04,0.02
0.46,0.09,0.04
0.44,0.06,0.03
0.56,0.04,0.02
0.61,0.0,0.0
0.49,0.03,0.01
0.68,0.04,0.03
0.42,0.0,0.0
0.61,0.06,0.04
0.49,0.03,0.01
0.49,0.09,0.04
0.49,0.1,0.05
0.54,0.03,0.02
0.46,0.06,0.03
0.49,0.03,0.01
0.51,0.07,0.04
0.49,0.06,0.03
0.46,0.03,0.01
0.49,0.09,0.04
0.42,0.06,0.02
0.46,0.13,0.06
0.49,0.01,0.01
0.51,0.07,0.04
0.46,0.06,0.03
0.49,0.06,0.03
0.49,0.03,0.01
0.51,0.0,0.0
0.46,0.07,0
0.49,0.13,0.06
0.46,0.01,0.01
0.56,0.07,0.04
0.44,0.03,0.01
0.51,0.04,0.02
0.46,0.09,0.04
0.44,0.06,0.03
0.56,0.04,0.02
0.61,0.0,0.0
0.49,0.03,0.01
0.68,0.04,0.03
0.42,0.0,0.0
0.61,0.06,0.04
0.49,0.03,0.01
0.54,0.0,0.0
0.54,0.0,0.0
0.44,0.0,0.0
0.49,0.1,0.05
0.46,0.03,0.01
0.49,0.06,0.03
0.56,0.0,0.0
0.46,0.01,0.01
0.46,0.01,0.01
0.46,0.04,0.02
0.46,0.03,0.01
0.46,0.0,0.0
0.39,0.0,0.0
0.46,0.01,0.01
0.39,0.04,0.02
0.44,0.01,0.01
0.49,0.07,0.04
0.44,0.04,0.02
0.44,0.0,0.0
0.44,0.0,0.0
0.44,0.0,0.0
0.46,0.04,0.02
0.56,0.01,0.01
0.46,0.01,0.01
0.46,0.0,0.0
0.46,0.09,0.04
0.49,0.0,0.0
0.49,0.03,0.01
0.51,0.0,0.0
0.46,0.0,0.0
0.49,0.04,0.02
0.51,0.0,0.0
0.51,0.04,0.02
0.56,0.07,0.04
0.66,0.0,0.0
0.46,0.0,0.0
0.63,0.0,0.0
0.46,0.04,0.02
